codigo;codigo_formatado;descricao;data_inicio;data_fim;tipo_orgao_ato_ini;numero_ato_ini;ano_ato_ini;source_id;data_ultima_alteracao;snapshot_gerado_em
03019911;0301.99.11;"Tilápias (<i>Tilapia</i> spp.<i>, Oreochromis</i> spp.<i>, Sarotherodon</i> spp.<i>, Danakilia</i> spp.; seus híbridos)";;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019912;0301.99.12;Esturjões (<i>Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019919;0301.99.19;Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019991;0301.99.91;"Tilápias (<i>Tilapia</i> spp.<i>, Oreochromis</i> spp.<i>, Sarotherodon</i> spp.<i>, Danakilia</i> spp.; seus híbridos)";;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019992;0301.99.92;Esturjões (<i>Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03019999;0301.99.99;Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03021100;0302.11.00;-- Trutas (<i>Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache</i> e <i>Oncorhynchus chrysogaster</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03021300;0302.13.00;-- Salmões-do-pacífico (<i>Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou</i> e <i>Oncorhynchus rhodurus</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03021400;0302.14.00;-- Salmão-do-atlântico (<i>Salmo salar</i>) e salmão-do-danúbio (<i>Hucho hucho</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03021900;0302.19.00;-- Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03022100;0302.21.00;-- Linguados-gigantes (Alabotes*) (<i>Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03022200;0302.22.00;-- Solha (<i>Pleuronectes platessa</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03022300;0302.23.00;-- Linguados (<i>Solea</i> spp.);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03022400;0302.24.00;-- Pregado (<i>Psetta maxima</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03022900;0302.29.00;-- Outros;;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03023100;0302.31.00;-- Albacora-branca (atum) (<i>Thunnus alalunga</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
03023200;0302.32.00;-- Albacora-laje (atum) (<i>Thunnus albacares</i>);;;;;;RFB_CLASSIF_NCM_JSON;;2026-08-22T08:22:04.883651+00:00
