cest;cest_normalizado;descricao;segmento;status;vigencia_inicio;vigencia_fim;authority_source_id;ingestion_source_id;snapshot_gerado_em
01.076.00;0107600;Parte e acessórios de motocicletas (incluídos os ciclomotores);01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.077.00;0107700;Engates para reboques e semirreboques;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.078.00;0107800;Medidores de nível - Medidores de vazão;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.079.00;0107900;Aparelhos para medida ou controle da pressão;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.080.00;0108000;Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.081.00;0108100;Amperímetros;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.082.00;0108200;Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo);01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.083.00;0108300;Controladores eletrônicos;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.084.00;0108400;Relógios para painéis de instrumentos e relógios semelhantes;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.085.00;0108500;Assentos e partes de assentos;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.086.00;0108600;Acendedores;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.087.00;0108700;Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.088.00;0108800;Juntas de vedação de cortiça natural e de amianto;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.089.00;0108900;Papel-diagrama para tacógrafo, em disco;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.090.00;0109000;Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos - placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.091.00;0109100;Cilindros pneumáticos;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.092.00;0109200;Bomba elétrica de lavador de para-brisa;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.093.00;0109300;Bomba de assistência de direção hidráulica;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.094.00;0109400;Motoventiladores;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.095.00;0109500;Filtros de pólen do ar-condicionado;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.096.00;0109600;Máquina de vidro elétrico de porta;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.097.00;0109700;Motor de limpador de para-brisa;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.098.00;0109800;Bobinas de reatância e de autoindução;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.099.00;0109900;Baterias de chumbo e de níquel-cádmio;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.100.00;0110000;Aparelhos de sinalização acústica (buzina);01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.101.00;0110100;Instrumentos para regulação de grandezas não elétricas;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.102.00;0110200;Analisadores de gases ou de fumaça (sonda lambda);01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.103.00;0110300;Perfilados de borracha vulcanizada não endurecida;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
01.104.00;0110400;Artefatos de pasta de fibra de uso automotivo;01. Autopeças;VIGENTE_SNAPSHOT;;;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-31T11:34:07.624Z
