cest;cest_normalizado;ncm_sh;authority_source_id;ingestion_source_id;snapshot_gerado_em
01.085.00;0108500;9401.20.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.085.00;0108500;9401.99.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.086.00;0108600;9613.80.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.087.00;0108700;4009;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.088.00;0108800;4504.90.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.088.00;0108800;6812.99.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.089.00;0108900;4823.40.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.090.00;0109000;3919.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.090.00;0109000;3919.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.090.00;0109000;8708.29.99;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.091.00;0109100;8412.31.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.092.00;0109200;8413.19.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.092.00;0109200;8413.50.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.092.00;0109200;8413.81.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.093.00;0109300;8413.60.19;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.093.00;0109300;8413.70.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.094.00;0109400;8414.59.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.094.00;0109400;8414.59.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
